"profnumber" "beauty" "eval" "courseID" "tenured" "minority" "age" "didevaluation" "female" "formal" "lower" "multipleclass" "nonenglish" "onecredit" "percentevaluating" "profevaluation" "students" "tenuretrack"
50 -0.7447439 3.5 0 1 0 52 74 0 0 0 0 0 0 90.2439 3.6 82 1
50 -0.7447439 3.4 0 1 0 52 102 0 0 0 0 0 0 83.60656 3.5 122 1
50 -0.7447439 4 0 1 0 52 94 0 0 0 0 0 0 71.75572 4.1 131 1
50 -0.7447439 3.5 0 1 0 52 89 0 0 0 0 0 0 78.07018 3.8 114 1
50 -0.7447439 3.8 0 1 0 52 133 0 0 0 0 0 0 89.26174 4 149 1
50 -0.7447439 4.7 23 1 0 52 22 0 0 0 1 0 0 95.65218 4.8 23 1
50 -0.7447439 3.9 0 1 0 52 78 0 0 0 0 0 0 79.59184 4.2 98 1
50 -0.7447439 4.5 23 1 0 52 22 0 0 0 1 0 0 81.48148 4.6 27 1
50 -0.7447439 4.2 23 1 0 52 27 0 0 0 1 0 0 90 4.3 30 1
50 -0.7447439 4.7 23 1 0 52 27 0 0 0 1 0 0 90 4.8 30 1
50 -0.7447439 4 0 1 0 52 60 0 0 0 0 0 0 86.95652 3.8 69 1
51 0.6361284 4.8 0 0 0 33 10 1 0 0 0 0 0 100 4.9 10 1
51 0.6361284 4.8 0 0 0 33 10 1 0 0 0 0 0 90.90909 4.9 11 1
51 0.6361284 4.4 0 0 0 33 10 1 0 0 0 0 0 71.42857 4.8 14 1
51 0.6361284 4.7 0 0 0 33 7 1 0 0 0 0 0 63.63636 4.7 11 1
51 0.6361284 4.5 0 0 0 33 14 1 0 0 0 0 0 100 4.6 14 1
52 0.5434852 4.2 1 1 0 57 36 0 0 0 1 0 0 87.80488 4.4 41 1
52 0.5434852 4.4 0 1 0 57 72 0 0 0 0 0 0 81.81818 4.5 88 1
52 0.5434852 4.1 0 1 0 57 63 0 0 0 0 0 0 80.76923 4.2 78 1
53 0.9825948 4.2 0 1 0 38 109 1 1 1 0 0 0 69.42675 4.6 157 1
53 0.9825948 4.8 1 1 0 38 54 1 1 0 1 0 0 79.41177 4.9 68 1
53 0.9825948 4.4 1 1 0 38 51 1 1 0 1 0 0 76.1194 4.8 67 1
53 0.9825948 4.7 1 1 0 38 61 1 1 0 1 0 0 76.25 4.8 80 1
53 0.9825948 4.2 0 1 0 38 102 1 1 1 0 0 0 74.45255 4.6 137 1
53 0.9825948 4.5 0 1 0 38 58 1 1 0 0 0 0 84.05797 4.7 69 1
54 -1.538843 3.4 0 0 0 34 46 1 0 1 0 0 0 57.5 3.8 80 1
54 -1.538843 3.7 0 0 0 34 53 1 0 1 0 0 0 58.88889 4 90 1
54 -1.538843 3.6 0 0 0 34 19 1 0 0 0 0 0 55.88235 4.1 34 1
54 -1.538843 3.9 0 0 0 34 41 1 0 0 0 0 0 56.16438 4 73 1
54 -1.538843 3.9 0 0 0 34 25 1 0 0 0 0 0 56.81818 4.1 44 1
55 1.067531 3.7 11 0 0 34 16 0 0 0 1 0 0 80 4.1 20 1
55 1.067531 3 0 0 0 34 20 0 0 1 0 0 0 57.14286 3.6 35 1
56 -0.4143639 3.6 0 0 0 32 69 0 1 1 0 0 0 41.07143 3.9 168 1
56 -0.4143639 3.6 0 0 0 32 98 0 1 1 0 0 0 39.67611 3.8 247 1
56 -0.4143639 4.3 11 0 0 32 20 0 1 0 1 0 0 90.90909 4.4 22 1
56 -0.4143639 4.5 0 0 0 32 72 0 1 0 0 0 0 69.90292 4.7 103 1
57 0.7962944 3.9 0 1 0 42 51 1 0 0 0 0 0 62.19512 4.1 82 1
58 -0.6466943 4.6 0 1 0 43 18 1 0 0 0 0 0 51.42857 4.7 35 1
58 -0.6466943 4.1 0 1 0 43 26 1 0 1 0 0 0 76.47059 4.3 34 1
58 -0.6466943 4.2 0 1 0 43 28 1 0 1 0 0 0 75.67567 4.4 37 1
58 -0.6466943 4.1 0 1 0 43 13 1 0 1 0 0 0 92.85714 4.5 14 1
58 -0.6466943 3.1 0 1 0 43 174 1 0 1 0 0 0 65.41354 3.1 266 1
58 -0.6466943 3.6 0 1 0 43 171 1 0 1 0 0 0 67.32284 3.7 254 1
58 -0.6466943 4.2 0 1 0 43 10 1 0 0 0 0 0 76.92308 4.5 13 1
58 -0.6466943 3 0 1 0 43 166 1 0 1 0 0 0 58.86525 3 282 1
58 -0.6466943 4.2 0 1 0 43 17 1 0 0 0 0 0 100 4.6 17 1
59 -0.4299034 3.4 0 0 0 35 22 0 0 1 0 1 0 52.38095 3.6 42 1
60 -0.5924066 3.1 0 1 0 62 9 1 0 0 0 0 0 56.25 3.3 16 1
60 -0.5924066 2.7 0 1 0 62 14 1 0 0 0 0 0 73.68421 2.9 19 1
63 0.6851749 3.9 0 1 0 52 70 1 1 0 0 0 0 71.42857 3.7 98 1
64 0.9755885 3.9 0 1 0 52 49 1 0 0 0 0 0 75.38461 4 65 1
64 0.9755885 3.6 0 1 0 52 32 1 0 0 0 0 0 50.79365 3.7 63 1
65 -1.178738 3.7 0 0 0 52 35 1 0 0 0 0 0 81.39535 3.8 43 0
65 -1.178738 3.6 0 0 0 52 59 1 0 0 0 0 0 73.75 3.9 80 0
65 -1.178738 4.4 0 0 0 52 45 1 0 0 0 0 0 86.53846 4.6 52 0
65 -1.178738 4.3 0 0 0 52 34 1 0 0 0 0 0 70.83334 4.5 48 0
65 -1.178738 4.1 0 0 0 52 50 1 0 0 0 0 0 75.75758 4.2 66 0
65 -1.178738 3.7 0 0 0 52 67 1 0 0 0 0 0 67 4 100 0
66 -1.157511 3.6 0 1 0 64 8 0 0 0 0 0 0 50 3.5 16 1
66 -1.157511 2.8 0 1 0 64 18 0 0 0 0 0 0 81.81818 2.7 22 1
66 -1.157511 4 0 1 0 64 5 0 0 0 0 0 0 45.45454 4 11 1
66 -1.157511 4.4 0 1 0 64 5 0 0 0 0 0 0 50 4.6 10 1
66 -1.157511 3.6 0 1 0 64 16 0 0 0 0 0 0 100 3.9 16 1
67 1.327346 3.7 0 1 0 50 9 0 0 0 0 0 0 90 3.7 10 1
68 -1.511268 2.9 0 1 0 60 7 0 0 0 0 0 0 70 3.1 10 1
68 -1.511268 2.6 0 1 0 60 10 0 0 0 0 0 0 62.5 2.5 16 1
70 -0.5783117 4.8 0 0 0 43 15 0 0 1 0 0 1 53.57143 4.8 28 1
70 -0.5783117 4.9 0 0 0 43 18 0 0 1 0 0 1 60 4.9 30 1
70 -0.5783117 4.3 0 0 0 43 11 0 0 1 0 0 0 73.33334 4.5 15 1
70 -0.5783117 4.4 0 0 0 43 10 0 0 1 0 0 0 76.92308 4.6 13 1
70 -0.5783117 4.3 0 0 0 43 17 0 0 1 0 0 1 94.44444 4.5 18 1
70 -0.5783117 4.7 0 0 0 43 22 0 0 1 0 0 1 84.61539 4.9 26 1
70 -0.5783117 4.3 0 0 0 43 18 0 0 1 0 0 1 60 4.4 30 1
70 -0.5783117 4.6 0 0 0 43 14 0 0 1 0 0 0 100 4.6 14 1
71 -0.671936 4.9 0 0 1 50 20 0 0 1 0 0 1 90.90909 5 22 0
71 -0.671936 4.8 0 0 1 50 21 0 0 1 0 0 1 84 4.9 25 0
71 -0.671936 4.7 0 0 1 50 23 0 0 1 0 0 1 88.46154 4.6 26 0
71 -0.671936 4.8 0 0 1 50 19 0 0 1 0 0 1 86.36364 4.8 22 0
71 -0.671936 4.9 0 0 1 50 20 0 0 1 0 0 1 76.92308 4.9 26 0
71 -0.671936 4.8 0 0 1 50 17 0 0 1 0 0 1 85 4.9 20 0
71 -0.671936 4.8 0 0 1 50 18 0 0 1 0 0 1 81.81818 4.9 22 0
71 -0.671936 5 0 0 1 50 20 0 0 1 0 0 1 95.2381 5 21 0
71 -0.671936 4.5 0 0 1 50 19 0 0 1 0 0 1 90.47619 4.5 21 0
72 0.6683338 3.8 0 1 0 52 46 0 0 0 0 0 0 70.76923 3.8 65 1
72 0.6683338 3.8 0 1 0 52 39 0 0 0 0 0 0 62.90322 3.9 62 1
72 0.6683338 3.8 0 1 0 52 34 0 0 0 0 0 0 50.74627 3.9 67 1
72 0.6683338 4 0 1 0 52 29 0 0 0 0 0 0 72.5 4.2 40 1
72 0.6683338 4.2 0 1 0 52 27 0 0 0 0 0 0 60 4.1 45 1
73 0.7924695 4.5 0 1 0 51 372 0 1 1 0 0 0 64.2487 4.8 579 1
73 0.7924695 4.5 0 1 0 51 343 0 1 1 0 0 0 63.87337 4.8 537 1
73 0.7924695 4.6 0 1 0 51 380 0 1 1 0 0 0 65.40447 4.8 581 1
73 0.7924695 4.7 0 1 0 51 322 0 1 1 0 0 0 61.10057 4.9 527 1
74 -0.6548505 4.1 0 1 0 38 66 0 0 1 0 0 0 78.57143 4.5 84 1
74 -0.6548505 3.6 0 1 0 38 40 0 0 1 0 0 0 50.63291 3.9 79 1
74 -0.6548505 4 0 1 0 38 60 0 0 1 0 0 0 65.21739 4.4 92 1
75 0.2510546 3.4 7 1 0 47 38 1 1 1 1 0 0 56.71642 3.6 67 1
76 -0.2397178 2.8 0 1 1 43 93 1 1 1 0 0 0 48.94737 2.7 190 1
77 -1.113346 4.1 7 0 0 38 36 1 0 1 1 0 0 60 4.4 60 0
77 -1.113346 3.5 7 0 0 38 29 1 0 1 1 0 0 45.3125 3.9 64 0
77 -1.113346 3.4 7 0 0 38 23 1 0 1 1 0 0 74.19355 3.6 31 0
77 -1.113346 4.1 0 0 0 38 36 1 0 1 0 0 0 58.06452 4.4 62 0
77 -1.113346 4.2 0 0 0 38 30 1 0 1 0 0 0 81.08108 4.4 37 0
78 -0.1135935 4.3 0 1 0 43 8 0 1 1 0 0 0 61.53846 4.5 13 1
78 -0.1135935 4.1 13 1 0 43 12 0 1 0 1 0 0 80 4.1 15 1
78 -0.1135935 3.4 19 1 0 43 65 0 1 0 1 0 0 82.27848 3.7 79 1
79 -0.8351366 3.5 0 1 0 57 53 0 0 0 0 0 0 54.08163 3.5 98 1
79 -0.8351366 3.6 0 1 0 57 58 0 0 0 0 0 0 59.79382 3.7 97 1
80 0.9005994 3.7 0 1 0 51 67 1 0 0 0 0 0 85.89744 4 78 1
80 0.9005994 3 0 1 0 51 36 1 0 0 0 0 0 64.28571 3.1 56 1
80 0.9005994 4.6 0 1 0 51 17 1 0 0 0 0 0 85 4.5 20 1
81 -0.620769 4 0 0 0 45 17 0 0 1 0 0 1 85 4.2 20 0
81 -0.620769 4.8 0 0 0 45 13 0 0 1 0 0 0 68.42105 4.9 19 0
81 -0.620769 4.6 0 0 0 45 19 0 0 1 0 0 1 73.07692 4.8 26 0
82 -0.8552412 3.4 29 1 0 57 12 0 0 1 1 0 0 66.66666 3.6 18 1
82 -0.8552412 4.4 30 1 0 57 12 0 0 1 1 0 0 100 4.4 12 1
82 -0.8552412 3.6 0 1 0 57 16 0 0 1 0 0 0 84.21053 3.4 19 1
82 -0.8552412 3.8 0 1 0 57 12 0 0 1 0 0 0 75 3.9 16 1
82 -0.8552412 3.7 0 1 0 57 14 0 0 1 0 0 0 87.5 3.8 16 1
82 -0.8552412 4.7 0 1 0 57 11 0 0 1 0 0 0 91.66666 4.8 12 1
82 -0.8552412 4.5 0 1 0 57 15 0 0 1 0 0 0 88.23529 4.6 17 1
82 -0.8552412 5 0 1 0 57 6 0 0 0 0 0 0 40 5 15 1
82 -0.8552412 3.8 0 1 0 57 15 0 0 1 0 0 0 93.75 3.8 16 1
82 -0.8552412 4.1 0 1 0 57 12 0 0 1 0 0 0 70.58823 4.2 17 1
83 1.065906 4.3 0 0 0 47 15 1 0 1 0 0 1 88.23529 4.7 17 0
83 1.065906 4.4 0 0 0 47 10 1 0 1 0 0 1 100 4.6 10 0
83 1.065906 4.7 0 0 0 47 16 1 0 1 0 0 1 94.11765 4.6 17 0
83 1.065906 3.9 0 0 0 47 15 1 0 1 0 0 0 88.23529 4 17 0
84 1.144253 4.8 30 1 1 54 15 1 0 1 1 0 0 93.75 4.9 16 1
84 1.144253 4.3 28 1 1 54 21 1 0 1 1 0 0 80.76923 4.5 26 1
84 1.144253 4.6 28 1 1 54 14 1 0 1 1 0 0 77.77778 4.8 18 1
84 1.144253 3.8 30 1 1 54 16 1 0 1 1 0 0 80 3.8 20 1
85 1.685985 5 28 0 0 58 21 0 0 1 1 0 0 100 5 21 0
85 1.685985 4.9 30 0 0 58 18 0 0 1 1 0 0 85.71429 5 21 0
85 1.685985 4.6 29 0 0 58 17 0 0 1 1 0 0 85 4.9 20 0
85 1.685985 4.6 30 0 0 58 19 0 0 1 1 0 0 95 4.6 20 0
85 1.685985 5 30 0 0 58 11 0 0 1 1 0 0 84.61539 5 13 0
85 1.685985 4.6 30 0 0 58 14 0 0 1 1 0 0 87.5 4.8 16 0
85 1.685985 4.9 0 0 0 58 16 0 0 1 0 0 0 94.11765 4.9 17 0
86 1.684802 4 0 1 0 42 22 0 0 1 0 0 0 91.66666 3.9 24 1
86 1.684802 3.9 0 1 0 42 17 0 0 0 0 0 0 85 3.9 20 1
87 0.6362435 4.1 0 0 0 33 67 0 0 1 0 0 0 43.22581 4.5 155 1
88 -1.269975 2.9 0 1 0 62 28 0 0 1 0 0 0 40 3.1 70 1
88 -1.269975 2.8 0 1 0 62 61 0 0 1 0 0 0 40.9396 2.8 149 1
88 -1.269975 2.8 0 1 0 62 49 0 0 1 0 0 0 35.76642 3.1 137 1
88 -1.269975 4 0 1 0 62 13 0 0 0 0 0 0 44.82759 4.2 29 1
88 -1.269975 3.3 0 1 0 62 28 0 0 1 0 0 0 50.90909 3.4 55 1
88 -1.269975 3 0 1 0 62 67 0 0 1 0 0 0 49.26471 3 136 1
89 1.681103 3.6 0 0 1 35 20 1 0 1 0 0 0 33.33333 3.6 60 1
89 1.681103 3.8 0 0 1 35 43 1 0 1 0 0 0 39.81482 3.7 108 1
90 -0.6756103 3.9 0 1 0 61 13 0 0 1 0 0 0 86.66666 4.3 15 1
91 -0.0901815 4.7 0 1 0 52 14 1 0 1 0 0 0 82.35294 4.9 17 1
91 -0.0901815 4.7 0 1 0 52 19 1 0 1 0 0 0 100 4.8 19 1
92 -0.1450257 3.9 0 0 0 60 18 1 1 0 0 1 0 94.73684 3.9 19 1
92 -0.1450257 4.4 0 0 0 60 11 1 1 0 0 1 0 84.61539 4.5 13 1
92 -0.1450257 3.6 0 0 0 60 18 1 1 0 0 1 0 94.73684 3.6 19 1
92 -0.1450257 4.2 0 0 0 60 11 1 1 0 0 1 0 50 4.4 22 1
92 -0.1450257 3.4 0 0 0 60 7 1 1 0 0 1 0 35 3.4 20 1
92 -0.1450257 4 0 0 0 60 24 1 1 0 0 1 0 88.88889 4.4 27 1
93 1.143045 4.2 0 0 0 32 111 0 0 1 0 0 0 87.40157 4.5 127 1
93 1.143045 4.4 0 0 0 32 62 0 0 0 0 0 0 72.94118 4.5 85 1
93 1.143045 4.5 0 0 0 32 76 0 0 1 0 0 0 75.24753 4.6 101 1
93 1.143045 3.2 0 0 0 32 9 0 0 1 0 0 0 42.85714 4.1 21 1
93 1.143045 4.3 0 0 0 32 52 0 0 0 0 0 0 60.46511 4.5 86 1
94 0.3320507 3.3 0 0 1 42 52 1 0 0 0 1 0 77.61194 4.4 67 1
94 0.3320507 3.2 0 0 1 42 54 1 0 0 0 1 0 81.81818 4.4 66 1
94 0.3320507 4.1 0 0 1 42 28 1 0 1 0 1 1 80 4.1 35 1
