"Ideology" "Party" "Sex"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Slightly Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
"Very Conservative" "Republican" "Male"
